strategy,day,issue,candidate,score,status,residual,objective
B43,32,1,0.65,-1675.529908654541,0,9.094947017729282e-13,-2291.083368669732
B43,32,1,0.8,-1514.1365547852135,0,2.2737367544323206e-13,-1589.711002183982
B43,32,1,0.9,-429.7658279020717,0,9.094947017729282e-13,-458.47532280101956
B43,32,2,keep,189.50128235362345,0,0,0
B43,32,2,0.5,419.1630179656722,0,5.684341886080802e-14,-644.0802000269086
B43,32,2,0.65,-13.40718488744514,0,1.1368683772161603e-13,-165.6208644145824
B43,32,2,0.8,913.3002876834669,0,5.684341886080802e-14,905.6180778774509
B43,32,2,0.9,1780.2693168254743,0,9.094947017729282e-13,1780.0767910390955
B43,32,3,keep,85.18294533452891,0,0,0
B43,32,3,0.5,234.96644305087273,0,9.094947017729282e-13,-151.39686062350557
B43,32,3,0.65,94.24663584869214,0,0.0,18.825835073702688
B43,32,3,0.8,540.9153487669814,0,9.094947017729282e-13,535.0082231500382
B43,32,3,0.9,1061.3256635296998,0,9.094947017729282e-13,1061.1861496444956
A43_000,32,0,initial,,0,9.094947017729282e-13,61356.31940550199
A43_001,32,0,initial,,0,9.094947017729282e-13,61555.118755832125
A43_001,32,1,keep,67.20846246780074,0,0,0
A43_001,32,1,0.5,524.7805457216564,0,1.1368683772161603e-13,-2961.8376705799838
A43_001,32,1,0.65,-1592.8431135871276,0,9.094947017729282e-13,-2291.083368669732
A43_001,32,1,0.8,-1484.7456024369824,0,2.2737367544323206e-13,-1589.711002183982
A43_001,32,1,0.9,-413.7211456281524,0,9.094947017729282e-13,-458.47532280101956
A43_010,32,0,initial,,0,9.094947017729282e-13,61555.51851792894
A43_010,32,2,keep,7.613756539217207,0,0,0
A43_010,32,2,0.5,-1214.819294669193,0,5.684341886080802e-14,-2418.761357057859
A43_010,32,2,0.65,-1862.9370739153617,0,1.1368683772161603e-13,-2054.670559843959
A43_010,32,2,0.8,-1570.4202755004383,0,5.684341886080802e-14,-1591.5005661821526
A43_010,32,2,0.9,-878.562510610099,0,9.094947017729282e-13,-887.1606841091206
A43_011,32,0,initial,,0,9.094947017729282e-13,61555.118755832125
A43_011,32,1,keep,67.20846246780074,0,0,0
A43_011,32,1,0.5,524.7805457216564,0,1.1368683772161603e-13,-2961.8376705799838
A43_011,32,1,0.65,-1592.8431135871276,0,9.094947017729282e-13,-2291.083368669732
A43_011,32,1,0.8,-1484.7456024369824,0,2.2737367544323206e-13,-1589.711002183982
A43_011,32,1,0.9,-413.7211456281524,0,9.094947017729282e-13,-458.47532280101956
A43_011,32,2,keep,202.2904354065906,0,0,0
A43_011,32,2,0.5,543.611860586295,0,5.684341886080802e-14,-644.0802000269086
A43_011,32,2,0.65,10.743399362678133,0,1.1368683772161603e-13,-165.6208644145824
A43_011,32,2,0.8,909.7276136708049,0,5.684341886080802e-14,905.6180778774509
A43_011,32,2,0.9,1770.7351690114622,0,9.094947017729282e-13,1780.0767910390955
A43_100,32,0,initial,,0,9.094947017729282e-13,61589.869022455205
A43_100,32,3,keep,7.340713356089869,0,0,0
A43_100,32,3,0.5,98.05625716729872,0,9.094947017729282e-13,-331.94485295551857
A43_100,32,3,0.65,-105.70844433236226,0,0.0,-174.2697469295606
A43_100,32,3,0.9,524.1437323893714,0,9.094947017729282e-13,526.1083823375276
A43_101,32,0,initial,,0,9.094947017729282e-13,61589.869022455205
A43_101,32,1,keep,67.20846246780074,0,0,0
A43_101,32,1,0.5,524.7805457216564,0,1.1368683772161603e-13,-2961.8376705799838
A43_101,32,1,0.65,-1592.8431135871276,0,9.094947017729282e-13,-2291.083368669732
A43_101,32,1,0.8,-1484.7456024369824,0,2.2737367544323206e-13,-1589.711002183982
A43_101,32,1,0.9,-413.7211456281524,0,9.094947017729282e-13,-458.47532280101956
A43_101,32,3,keep,100.75406364216299,0,0,0
A43_101,32,3,0.5,259.4624634254002,0,9.094947017729282e-13,-140.29334221850593
