interval_start,interval_end,plot_hour_midpoint,actual_netload_kw,forecast_00_kw,forecast_06_kw,forecast_12_kw,forecast_18_kw
7.333333333333333,7.5,7.416666666666667,2217.4624999999996,1934.6426927955163,2060.741892795517,,
7.5,7.666666666666667,7.583333333333333,1684.1412,1576.0124838452161,1738.4876838452165,,
7.666666666666667,7.833333333333333,7.75,2007.4683999999997,1858.959463426102,2057.8106634261017,,
7.833333333333333,8.0,7.916666666666667,2929.0775000000003,2732.1359160579977,2967.363116057998,,
8.0,8.166666666666666,8.083333333333334,2896.8231,2466.890156031216,2676.0561060312157,,
8.166666666666666,8.333333333333334,8.25,2630.2284,2098.9379623537243,2282.042662353726,,
8.333333333333334,8.5,8.416666666666666,2466.9450000000006,1872.9642199150549,2030.007669915054,,
8.5,8.666666666666666,8.583333333333334,1996.0330999999996,1576.7628554676494,1707.7450554676489,,
8.666666666666666,8.833333333333334,8.75,1668.0307999999995,1263.205998212551,1368.1269482125517,,
8.833333333333334,9.0,8.916666666666666,1576.9225000000006,963.3771175296615,1042.2368175296615,,
9.0,9.166666666666666,9.083333333333334,1327.7025999999996,658.3878121743746,817.1142955077075,,
9.166666666666666,9.333333333333334,9.25,903.1102000000001,338.76274621727316,577.3560128839408,,
9.333333333333334,9.5,9.416666666666666,463.1125000000002,36.29617765810235,354.75622765810294,,
9.5,9.666666666666666,9.583333333333334,216.5685000000003,-249.01541499138784,149.31141834194477,,
9.666666666666666,9.833333333333334,9.75,247.54409999999916,-551.8036527834556,-73.61003611678825,,
9.833333333333334,10.0,9.916666666666666,271.2425000000003,-857.3249051437078,-299.26450514370754,,
10.0,10.166666666666666,10.083333333333334,-97.2524999999996,-1007.2532512183889,-465.0404678850564,,
10.166666666666666,10.333333333333334,10.25,-328.72679999999946,-1150.929987156197,-624.5648204895288,,
10.333333333333334,10.5,10.416666666666666,-405.46500000000015,-1308.1462145003816,-797.6286645003811,,
10.5,10.666666666666666,10.583333333333334,-814.2784000000001,-1599.1208314731193,-1104.4508981397867,,
10.666666666666666,10.833333333333334,10.75,-1103.0194000000001,-1766.7922269225583,-1287.9699102558898,,
10.833333333333334,11.0,10.916666666666666,-983.1000000000004,-1828.3123904636495,-1365.3376904636489,,
11.0,11.166666666666666,11.083333333333334,-659.6243000000004,-1744.659722427662,-1455.8830057609948,,
11.166666666666666,11.333333333333334,11.25,-659.0469000000003,-1700.8665656182147,-1586.287832284881,,
11.333333333333334,11.5,11.416666666666666,-957.4624999999996,-1703.97660450305,-1763.5958545030498,,
11.5,11.666666666666666,11.583333333333334,-1081.6057,-1618.0259008093108,-1851.843134142644,,
11.666666666666666,11.833333333333334,11.75,-1255.4106999999995,-1595.7084853546949,-2003.7237020213624,,
11.833333333333334,12.0,11.916666666666666,-1650.13,-1827.77516353002,-2409.9883635300203,,
12.0,12.166666666666666,12.083333333333334,-2124.1279000000004,-1605.613975238536,-2475.507625238535,-1795.0673752385355,
12.166666666666666,12.333333333333334,12.25,-2235.3408,-1337.5291407719396,-2495.1032407719395,-1744.9257407719397,
12.333333333333334,12.5,12.416666666666666,-1825.7025000000003,-1104.2454459943665,-2549.4999959943652,-1729.5852459943662,
12.5,12.666666666666666,12.583333333333334,-1198.9766,-853.4807252385363,-2586.4157252385357,-1696.7637252385357,
12.666666666666666,12.833333333333334,12.75,-1038.5893999999998,-605.1002537480063,-2625.7157037480065,-1666.3264537480063,
12.833333333333334,13.0,12.916666666666666,-1174.42,-146.07024756625378,-2454.366147566253,-1425.2396475662536,
13.0,13.166666666666666,13.083333333333334,-828.4533999999994,44.59386027909932,-2179.876423054233,-1188.2049063875666,
13.166666666666666,13.333333333333334,13.25,-541.8022999999995,142.06292340106575,-1998.5817432656004,-1044.3652099322671,
13.333333333333334,13.5,13.416666666666666,-570.7124999999995,166.47827845642132,-1890.3407715435787,-973.5792215435795,
13.5,13.666666666666666,13.583333333333334,-613.1947000000001,231.724955111481,-1741.268478221852,-861.9619115551859,
13.666666666666666,13.833333333333334,13.75,-628.7564000000002,255.09258439518635,-1634.0752322714807,-792.2236489381476,
13.833333333333334,14.0,13.916666666666666,-519.9299999999994,249.02174115844446,-1556.3204588415556,-751.9238588415556,
14.0,14.166666666666666,14.083333333333334,-170.1314000000002,542.1535126005165,-1253.6545373994832,-509.46223739948255,
14.166666666666666,14.333333333333334,14.25,111.32340000000025,923.2389165997965,-863.0349834002036,-179.04698340020514,
