日期,时段结束,实际净负荷_kW,q20_kW,q50_kW,q65_kW,q80_kW,q90_kW
2025-11-05,03:40,3519.1632,3556.7181775217623,3664.481210071599,3687.581528718712,3739.76181852173,3769.866596532939
2025-11-05,03:50,3642.9442,3553.618824014773,3664.481210071599,3689.4887189072347,3732.6585779996403,3783.5671196425847
2025-11-05,04:00,3684.2,3539.5493252465267,3643.4006117962344,3669.4426432154924,3737.7309147028604,3767.618126737423
2025-11-05,04:10,3590.3801,3556.813987605347,3664.481210071599,3690.2230668337174,3751.556572288216,3819.9248442706485
2025-11-05,04:20,3556.9068,3554.8773340619055,3665.7397201187314,3688.8400387658444,3801.0030507279985,3817.988190727207
2025-11-05,04:30,3599.34,3735.556983213566,3825.144478827956,3841.0596783448214,3851.7158005947326,3852.5639404993276
2025-11-05,04:40,3576.3464,3558.466039206233,3671.1833200885612,3700.760923875477,3792.3502092071835,3816.438589728482
2025-11-05,04:50,3670.3421,3505.6043840734715,3631.8075564791952,3690.462807484185,3793.6879815336647,3795.669077083206
2025-11-05,05:00,3822.05,3447.6148832528784,3601.4378187980574,3622.3753565158027,3787.9599583571935,3788.1197841487397
2025-11-05,05:10,3770.0524,3538.367485903873,3651.351421633879,3682.0608925104234,3795.8776746816666,3801.156664308133
2025-11-05,05:20,3730.7909,3559.7562644354284,3674.0114960296705,3711.9767887123544,3819.1721870033616,3831.1794454683186
2025-11-05,05:30,3709.22,3545.865166468732,3657.6891528264705,3737.069268027846,3845.635407356201,4004.3486175383227
2025-11-05,05:40,3580.0518,3484.685303313928,3604.9636929416165,3653.126826876156,3701.570548873977,4108.297851426321
2025-11-05,05:50,3989.9943,3858.045668360111,3972.1966409120905,4011.759692297892,4054.1455682350697,4163.461451680974
2025-11-05,06:00,4750.86,4384.652446791431,4758.341734763472,4924.482746086558,4954.946842873353,5074.857989914379
2025-11-05,06:10,4939.97,4234.028213459048,4892.100971388052,4953.31178789745,5020.264511501841,5059.211668639607
2025-11-05,06:20,4819.2301,4275.215393145388,4864.03562681419,4874.239605523626,4933.743324326353,5029.112914091136
2025-11-05,06:30,4809.62,4346.0259938422305,4874.239605523626,4981.038993935004,5016.831727329427,5031.141230651691
2025-11-05,06:40,5019.3661,4049.8096886539356,4766.541160642788,4865.083508360218,4896.809773680745,4902.782779980794
2025-11-05,06:50,4903.391500000001,4022.428658575029,4538.460441553285,4554.129018129729,4576.677819422551,4584.565072787185
2025-11-05,07:00,4409.545,4082.459565437919,4401.83937670207,4406.652041267904,4439.324021553817,4444.58277252946
2025-11-05,07:10,4008.3259000000003,3978.496272692516,4037.207129119102,4081.4264189121413,4104.784414082567,4105.154544957511
2025-11-05,07:20,3646.7200000000003,3662.657625243817,3826.825734086254,3830.827386899906,3837.8816945798917,3840.472033387841
2025-11-05,07:30,3224.38,3158.7495349381074,3372.476842898036,3379.4118360333837,3472.139441194269,3505.7014506875676
2025-11-05,07:40,2905.4593999999997,2797.051267733188,2971.4140673395736,3326.4612001069754,3425.6832274253015,3448.139299708702
2025-11-05,07:50,3480.5658999999996,3120.9960580079032,3245.1304769302988,3302.006044616898,3601.783875697439,3738.769803205412
2025-11-05,08:00,4335.335,3965.91092109471,4176.507547109548,4271.329317165849,4333.567068475835,4467.705976300958
2025-11-05,08:10,3946.7099999999996,3462.5584175983727,3812.204525533214,3878.9561182655793,4013.6115801206884,4157.794619391959
2025-11-05,08:20,3349.6110000000003,3178.415553937563,3395.389733034361,3404.276073286712,3514.592917857918,3530.6290120771246
2025-11-05,08:30,3106.9725000000003,2776.004004725755,3025.9659797946756,3207.29842159303,3247.781390764086,3340.2665762414476
2025-11-05,08:40,2785.6543,2446.2603659080446,2854.627899989571,2898.7649246366504,3030.287241261109,3157.2339221985817
2025-11-05,08:50,2472.2625,2128.9011299939734,2383.832914125516,2435.8591244124304,2494.461094653124,2507.7491760355497
2025-11-05,09:00,2157.4974999999995,1745.7577793591363,2015.8085649968957,2020.668496956141,2187.118741210053,2350.6491888632872
2025-11-05,09:10,1718.5555000000004,1499.7625388336794,1860.4687264537247,2083.357366448809,2188.832565696984,2349.6544111078033
2025-11-05,09:20,1507.7421999999997,1276.2602350043926,1724.0004371405444,1842.273753167043,1866.945323763143,2154.3448590881208
2025-11-05,09:30,1456.125,1235.742959489416,1550.4471600675784,1615.920103009154,1873.5414407403362,1913.7821893062567
2025-11-05,09:40,1127.7034000000003,827.0146984859799,1249.3973902932516,1430.1955757338883,1504.1742295270424,1690.56533962667
2025-11-05,09:50,779.7411000000002,382.4893961054241,895.2240282347134,1180.3848980154646,1233.2365105814592,1433.0448227609588
2025-11-05,10:00,644.0550000000003,-52.284186392000606,686.1357270623835,703.1924271820781,898.467175513044,1132.5165084076214
2025-11-05,10:10,597.2449999999999,-196.75807020824925,413.18181069847697,459.4254529213378,559.3847948630263,755.5508996735695
2025-11-05,10:20,-32.121799999999894,-530.0977079178958,266.0609133382718,397.9939783518442,404.0794872419857,457.2333990323171
2025-11-05,10:30,-823.3125,-653.0436510980709,47.482337352764716,175.86427996936482,200.52586285856208,336.1068732121342
2025-11-05,10:40,-661.3687,-806.2931047226466,-26.57932856114394,4.827607327642607,11.6357222000359,249.62459572985148
2025-11-05,10:50,-510.5706999999993,-757.1103991401492,-260.9432143477193,-155.86089303471812,75.88656817794342,114.56313077845778
2025-11-05,11:00,-695.5074999999997,-901.18263228834,-591.7475769612834,-489.3314851452338,-305.81072038263164,-169.61002840590922
2025-11-05,11:10,-649.1770000000006,-1132.913408953607,-687.4812450694667,-526.378483643091,-311.5794827915686,-173.5508576925094
2025-11-05,11:20,-883.7679000000007,-1108.0179241150472,-729.3128376818736,-537.2313085694888,-264.29932476212343,-105.50129747936782
2025-11-05,11:30,-1139.1324999999997,-1128.5027301899368,-787.6388124767468,-581.5709653542434,-260.1838756977664,-140.39783512234925
2025-11-05,11:40,-627.1246000000001,-1154.239293547366,-810.002712158634,-623.1578928286604,-347.23865183848113,-168.79539850571936
2025-11-05,11:50,-597.6043,-1436.2931949694098,-1063.9133899635103,-1010.715844330938,-783.2897526343577,-402.4431710600226
2025-11-05,12:00,-1226.9224999999997,-1529.5633840612802,-1249.1227011628594,-893.0635803031756,-736.2343247879136,-188.48978116930817
2025-11-05,12:10,-1414.4511000000002,-1467.3207276344997,-1222.9589086004285,-860.9608696542215,-680.3585717706444,-506.1056434829301
2025-11-05,12:20,-1325.5358999999999,-1422.5470745106168,-1171.6283893414534,-816.8713527021768,-697.1937308325794,-453.18992269257774
2025-11-05,12:30,-1356.5750000000007,-1542.7182689915942,-1221.6892787990778,-867.3883812921152,-659.5666918838394,-436.31843050950965
2025-11-05,12:40,-1588.9175999999998,-1282.494706237621,-1190.5094462549264,-929.0094511402932,-574.806561900822,-430.81638751833634
2025-11-05,12:50,-1304.8982999999998,-1275.2582985952467,-905.9775681083324,-713.3605329508663,-589.5685139006198,-436.7507422587612
2025-11-05,13:00,-710.3975,-894.9096035956954,-691.7734649084045,-568.9695128991249,-314.72114725807774,-156.26435151412096
2025-11-05,13:10,-745.8392000000003,-966.7543689917846,-675.4076630606974,-506.8084554309228,-296.82530028369996,-191.6797164332072
2025-11-05,13:20,-830.0682000000006,-816.4316953417227,-592.071893136686,-428.4231608498769,-206.1788646239297,-143.1047655887551
2025-11-05,13:30,-647.1125000000002,-662.6669621337143,-183.9413470586428,-143.14328403699224,-81.01002413576758,130.7971620301267
2025-11-05,13:40,-468.0778,-304.38453926132826,-0.00308533969337077,54.478087845424014,261.14554434652445,520.0308874698089
2025-11-05,13:50,-283.28079999999954,-416.9711972100082,132.17005318052642,134.47817297407664,271.41075437770235,355.6397976768923
2025-11-05,14:00,-63.39249999999993,-93.03094397961905,334.22437660171227,423.9456705499476,430.1763683743839,795.6329945247317
2025-11-05,14:10,182.7403000000004,-73.64938346201421,445.2551444974338,483.3913471730581,722.1628778208396,906.8839172762434
2025-11-05,14:20,521.2453000000005,231.80065948338284,622.4213688491707,649.5428957090448,868.0213472826142,990.4347270667893
2025-11-05,14:30,959.0600000000004,482.9252893513934,917.0347762738097,924.3335345321467,1043.9080224105198,1424.2012894490397
2025-11-05,14:40,1412.5784999999996,812.3936525190844,1071.1359785988193,1271.369985406045,1377.893236068516,1541.9840421302242
2025-11-05,14:50,1755.7255999999998,1195.9889086167789,1516.7638257166177,1698.8969760321022,2123.001488421237,2211.9468955931666
2025-11-05,15:00,1976.2624999999998,1487.3147718808812,1811.7424431763125,1963.8569132469636,2261.296498224598,2279.707136010021
2025-11-05,15:10,2169.519,1888.9961642878998,2099.859453217698,2191.980369487166,2433.79745735316,2475.808971062479
2025-11-05,15:20,2370.0317000000005,1972.879344166546,2417.6451830991127,2448.8139507763003,2474.518128138971,2513.2587749117015
2025-11-05,15:30,2670.6575,2157.419766339762,2647.776813326245,2681.209528287218,2799.990946172034,2858.523093246639
2025-11-05,15:40,3158.1164,2719.091139375468,3029.6418934479375,3115.3316468040734,3135.262697799802,3371.5954211548396
2025-11-05,15:50,3603.3165999999997,3158.014124410445,3290.116835840282,3354.769930527636,3365.2900445781133,3534.944659678344
2025-11-05,16:00,3884.9875,3553.730822123847,3731.2492308780575,3817.734733889061,3826.801511365412,3846.7687660931656
2025-11-05,16:10,4081.2229,3867.557430309277,3937.9186951084916,3970.0738716293936,3995.4228121449128,4054.1435859445273
2025-11-05,16:20,4316.286,4183.160460341926,4392.588297985081,4575.966127094559,4577.915339902753,4609.300473302909
2025-11-05,16:30,4703.385,4157.672885266424,4641.974925895751,4892.8911309657,4894.321374084358,4896.046626518845
2025-11-05,16:40,5235.7037,4122.008939168487,5118.452250479307,5123.652595163578,5142.291576749949,5160.74853083183
2025-11-05,16:50,5531.4867,4204.44028526589,5294.984213491123,5336.256087296231,5336.330565824848,5344.07867220562
2025-11-05,17:00,5639.1425,4314.2757419616955,5621.981541255579,5658.109725968525,5722.523175823785,5773.610334558182
2025-11-05,17:10,5951.0168,4302.4552561377795,5936.022453205449,6135.0473448384955,6170.220607219176,6186.237935526035
2025-11-05,17:20,6158.1888,4549.642066949561,6131.68852134147,6403.0087235454685,6448.970344338289,6466.39718593574
2025-11-05,17:30,6172.8,4514.3203679138105,6138.490133052752,6393.255861958378,6456.270808080923,6479.134267450944
2025-11-05,17:40,6116.3912,4551.36321688351,6253.3966549057095,6567.047971192949,6667.340245247417,6669.798283842306
2025-11-05,17:50,5392.8263,4068.4721056684198,5498.808395805878,5576.385989079348,5590.321110198185,5639.760835403608
2025-11-05,18:00,4442.7,4199.3465760839,4384.676632746378,4393.904823462077,4427.467465644884,4472.058922605693
2025-11-05,18:10,4400.772,3886.0688306329826,4086.1499162095597,4173.446477132083,4314.811769624301,4325.490748719803
2025-11-05,18:20,4364.7551,4213.065422898405,4367.74720885652,4412.283437257995,4476.521623566567,4480.7115520435445
2025-11-05,18:30,4132.34,4241.23663986504,4363.619918428859,4372.274320768114,4467.005119160216,4497.099989612894
